State,Variable,Value
Maryland,Costs,12035719
Massachusetts,Costs,13649965
Michigan,Costs,16786444
Minnesota,Costs,8944867
Mississippi,Costs,3887981
Missouri,Costs,8691887
Montana,Costs,1518818
Nebraska,Costs,3298536
Nevada,Costs,3676997
New Hampshire,Costs,2637911
New Jersey,Costs,23639281
New Mexico,Costs,3127463
New York,Costs,51509285
North Carolina,Costs,12322555
North Dakota,Costs,1049772
Ohio,Costs,19988921
Oklahoma,Costs,5036031
Oregon,Costs,5430888
Pennsylvania,Costs,23485203
Rhode Island,Costs,2149366
South Carolina,Costs,6461884
South Dakota,Costs,1126503
Tennessee,Costs,8377599
Texas,Costs,42864291
Utah,Costs,3704133
Vermont,Costs,1424507
Virginia,Costs,12968457
Washington,Costs,10040312
West Virginia,Costs,3388294
Wisconsin,Costs,10333016
Wyoming,Costs,1398444
